deposit_address,confidence,deposit_address_validator_count,withdrawal_addresses,avg_activation_epoch,related_withdrawal_address_validator_count
0x9c2295c87b78ac4da06dd3bb5964e55636306cac,0.99945295,20,[0xabd6c51de173f356d8b845b9b72d904dff00d746],6044,156
0x2b3c22e8934731f8ff22d893065a0c7dcf237c82,0.9994529,1,[],39307,
0xbfdc73a3af777d16fd0a8b61a6debd839ba5f924,0.99945277,4,[0xbfdc73a3af777d16fd0a8b61a6debd839ba5f924],10545,4
0x04f42d7b12de8b4b3c5995d0ecfe50c2e62f8f26,0.99945235,100,[0x5e90387025235d07576f80c76b3e57ec96547ec4],0,100
0xf83c995bd2d3290eeff0359c469b41c9822842a0,0.9994512,18,[0xabd6c51de173f356d8b845b9b72d904dff00d746],6061,156
0x6151a29cbf6f291362ac4ac7ae08bb8396cc9146,0.9994506,1,[0x183ff051f7b4004ac6c7454f19548e6fe7675569],131368,1
0x1477d2a1d140e02b669e7623a9613c3cf9283521,0.99945056,1,[0x24f8aae425c39396ea0f3f32bc566012c349014b],0,1
0xc1b949180c019bd797bb667548dd403c712a1d1e,0.9994502,1,[0xc1b949180c019bd797bb667548dd403c712a1d1e],2432,1
0x016c67e17637e0cac1afe3408a237fc86099f652,0.99944866,21,[0x142b0eb911e2247c5cc3bbb3f1b104d07ea92a4c],16630,21
0x9cc37958cc46e55631fe99f0e63a5f2e027e6619,0.9994467,1,[0x9cc37958cc46e55631fe99f0e63a5f2e027e6619],147153,1
0xd036fcf686421326cd933a62f2175078452ea82c,0.9994437,1,[0x139f375482dfc509cc50d35c99629652c6c84104],47366,1
0x6c094f7757f75b5b141792e1a075f56c30d66fa9,0.9994423,1,[0x6c094f7757f75b5b141792e1a075f56c30d66fa9],30856,1
0x4a3d4427b40e7964e315fd453e904ed889d909d0,0.9994406,1,[0xf25c759401bfe5e0e0eba3c59579556dbba93f08],0,164
0x9a576775cae8a4afda44cf28f3243b40d7501f03,0.99943674,4,[0x920b121f1297bd92c3870e95154db590f96d061b],0,16
0x3d58f2f8afa3a434d91702167b3ef05a138d8c56,0.99943566,8,[0x3d58f2f8afa3a434d91702167b3ef05a138d8c56],0,8
0x1eff6b29320dd155a0a7f015bdfa80d490902b5d,0.99943566,4,"[0x702fb0176d70ff59f87a8791395202296f02edcb,0x702fb017654beb12d78346fd5c37e703e48c50a5,0x702fb017903ddf811510b74f69b24520bbe19c3d,0x702fb017946b06609af03f91d57f4b3484cd916a]",82147,4
0x9fe9ffbfd57ab78d4d01973482258bfc4bb70be3,0.9994342,10,"[0x26cf67037272935915142e5b2b6c6b5c72ae62f8,0x823d1026e58caf68be78b0e9d178fd165f92fa25,0x64db138af397607ece924370fa0ab2d4be8f409f,0x405b88b67ead922e7d6a6e321b5c6cdb48db39eb,0x7020e7d7c154cdef604ad58606dc8bdfd039f42c,0x33d67b394d7db33ba1067df7c8c6821d2683ab67,0xa8d65b85bc0a9167a6c6c53c65d65be0a785a42f,0x184f3bc182b33ff85a718a283277199d3b138699,0xd431367d52685a2115d8173824dab23595010032,0x436e1f24b6adae96878cd4d1c6425007d78c4467]",84066,10
0x04241b41ecbd0bfdf1295e9d4fa59ea09e6c6186,0.9994326,32,[],0,
0x1207d0bb26261777c94f074caa874e4d092554fc,0.9994325,1,[0x5caf1d710af8cd2dd2ceb18e36707c559984fe2d],82113,1
0x807c39f46bdb44090afcde7de58c4e4479a9fb19,0.99943197,1,[],0,
0x640e1a466ed8773b3392daa4f978a33684656e85,0.99942744,40,[],40014,
0x10356f393b358aa9cc2d553063282eb548861d49,0.9994271,3,"[0x948e06be853e71f50abb009607d3ed8502b0ef73,0xb0e5e11b5ce3b26f5ba7dd5d2ffb384a1119005e,0x2122d585329d64eff8665f3ebff0bffc44dcc055]",1557,3
0xe3cad0954720472677d7ff08f78d7802f37aa518,0.9994269,2,[0x230ac6be28751669c2fd0dec37d8aabe8667c2bb],94006,2
0xffa64ed1a3bf9af168bdc3899f2b6f1c8aff16f7,0.99942654,1,[],10293,
0x49a48321c2af6e74712d07d1bdb8d3b095ff3040,0.99942595,1,[0x341bb032b46cb44ffbf0adfc5bd5d44f00559cce],7323,1
0x1de3626d6fc2d7c14af8020b5e8a0c3371d9195d,0.9994231,56,"[0x56b4c094dcce68f23093f16458c85e5b27e784f9,0xfc80f1870f7450598ecd4f9b1b60568ec4969f5d,0xfe36c86dab8e3554008b051f53ce3b4c7cf0cd94,0xebd9fb2f930c5c4110c02cdd338e36d11e7ca8c2,0x40b1675b58ea3357c7d6ddd5355229d205289d6d,0xd3632d7f83fafc6491a8e76a1d99d51ad46e6b75,0x6351e512643fbde5ad7f64d03cef7db6d08ce057,0x516410d4c5de6c5035e8d902ee0950a51125ea18,0x72679f3d0a4c707e413e4474841e6470fdef2e9b,0x9ea2f335679a3b658dee0e6ba7aa8401c2573f72,0xe2f8d6b01c6d00012118468dde49e87fe93690d2,0xc635f9369f2cafa3cbff0617e329bf98c73ad4c3,0x199f19d2a570d9dd4c36835855917b38522c554e,0x84a4b7033f561f2726cc405d1b9e83b01d720986,0xeafe853a5bd7bf478ef8322a30ee077bfeb8701b,0x9289810f3a44bce0045befd9d5284491c2159647,0x54dcb9f2160eeb9a939be0af6975b01fa2f9aa30,0x725dab5a524f0efecca2867d9c2f3e9d762a86a2,0x6311e3c1378d9433f7fdff5ce49812b12f8c415e,0x5b7bdc3ff25c29fcbf8c1efa66f6ee61695c1ab5,0x2dd40ffdfbd23cd9530c62b0229231103f9f235e,0x12fee99cb6b2558b3cc93d34e121594866c8e8fe,0x3864ead4032b00d130e789c3864b65e0304906f7,0x7bcb80a7acad232cbe7413496afc5a452fb480d6,0x26293af3b3ba0d1f0429e1a46670889b2e97b4ab,0xf8b2db594aa4b081b7ea36cfd43934d7ca72afc0,0x56ca16dc01b9275d13b586829d42332b6068400d,0x19f27db079f7226d527e4875c61fd788bfaa1acd,0x9cfab7b86cdef37b8929331e7500fad8093493e7,0x101e1596a2cb90d379f6ca6de3d62e70f85ca572,0x4b77c31f0668959fcaff14fb754c9b94005e03ba,0x00b75eff7e621b8411cde036ee7815c283754b0d,0xa26fa15476f510621ca02be78aa18980fc8920e2,0x201d3375b91042e56789fd78e109324c8007aac2,0xb02e5e5f811947d07c3e2cfc7f6260c658da223a,0x45be60ef3262eac4002f424cd9d155c4997cff32,0x2722fc0133ba9031e6fb7a2e9c69a9fc0220e3ca,0x728f67f6ad9a8340d30fd340e319874e97202536,0x4fc1c1768d16366935fb9dfb7f4ef214386bbc54,0x6aa3e67c4e6b4f96d58c0a7c1021149b483f617e,0xe2f81a28c9ae008c40fe091b05da355020b8ec93,0x9fd0b33f6d3d17ce0c5e3104615203362f23b648,0x112698cd56321e42f1c169405b377079acf15f6a,0x48128539af8191b97b13e2a8427b1af0f7ec9dcc,0x0aca9feb7b6457c86ab20c3543b03583f4ff5780,0x2b36735d9383c58b46d5051173241cf9d749eb43,0xedcd0c00c1dd85f9fa49558f5a494b819e961615,0x119104c979d5e354ff45d5c4bb59c01877187e06,0x8f89956f65a59564d4c8986fe31a86161407db40,0x1887165cb95a5465b470fcdcf9b8e56b9187d8ba,0x8ab6c1fdca115538aae34dfd2162ff42298fafa8,0x84c0559f952a39e1a16cafa7ae61ac9c4adb98a5,0xac1cd7287ca2d8339c9f8f2b43a3378ab82bd209,0x6b5a2da0d49e366adc9fc4dc906d8ac9fbfbbece,0xf8f4b663dc2464745ee65bf7f422e14cff2b7d1b,0xf7441f16b152bd50826c26df2f8b4f7aed8c64d9]",100869,56
